.01 PRIMARY ID	.02 TPA ID	.03 CLAIM OFFICE ID	.04 CLAIM TYPE	.05 DATE/TIME LAST MODIFIED	.08 TEST or PRODUCTION	.09 DELETED / INACTIVE	.11 EXCLUDED SERVICE CLAIM TYPE	.12 EXCLUDED SERVICE LAST UPDATED	
free text	free text	free text	set of codes	date	boolean	boolean	set of codes	date	
5	5	4	1		1	1	1		
00014			1	"JUN 14,2012@10:45"					
00046			2	"JUL 3,2012@10:23"					
00403			1	"JUL 3,2012@10:43"					
00551			1	"JUN 16,2020@09:19"					
00562			1	"JAN 30,2019@14:49"					
00958			1	"JUL 7,2020@09:08"					
01047			1	"DEC 10,2012@10:32"					
01260			2	"JUN 14,2012@08:35"					
02057			1	"JUN 27,2012@08:35"					
03036			1	"DEC 10,2012@10:32"					
03432			1	"JUN 21,2012@09:03"					
04271	04271		2	"MAR 20,2014@09:15"			2		
04271	04271		3	"MAR 20,2014@09:15"			3		
04273			1	"JAN 13,2020@10:23"					
04298	04298		1	"JAN 11,2013@06:13"					
04320	04320		1	"JAN 4,2012@09:32"					
04332			1	"MAY 15,2012@11:09"					
04423			1	"DEC 10,2012@10:40"					
05003			1	"JUN 21,2012@09:06"					
05178			1	"NOV 16,2020@13:12"					
05977			1	"OCT 9,2012@07:20"					
06105	06105		1	"MAR 29,2012@11:02"					
06108			1	"DEC 10,2012@10:41"					
06111	HDM01	9721	2	"JUN 30,2015@17:48"			2		
06111	HDM01	9721	3	"JUN 30,2015@17:48"			3		
06161			1	"DEC 10,2012@10:41"					
06607			1	"AUG 14,2012@09:38"					
07205			1	"JUN 14,2012@08:58"					
07503			1	"JUL 16,2012@21:29"					
07632			1	"OCT 28,2020@14:07"					
07689			1	"MAR 15,2012@07:05"					
08754			3	"OCT 3,2017@12:56"					
09824			1	"JUL 16,2012@21:29"					
09830			1	"JUL 16,2012@21:30"					
09908			1	"JUL 16,2012@21:30"					
10010			1	"JUL 16,2012@19:43"					
10525			1	"JUL 8,2012@14:53"					
10850			1	"MAY 15,2012@11:24"					
10956			1	"JUL 8,2012@14:54"					
11123			1	"JUL 2,2012@09:14"					
11244			1	"JUL 8,2012@14:54"					
11285	11285		1	"APR 30,2012@06:37"					
11303			1	"JUN 27,2012@08:27"					
11315			1	"JUL 8,2012@14:55"					
11324			1	"JUL 8,2012@14:55"					
11325			1	"JUL 8,2012@14:55"					
11328			1	"JUL 8,2012@14:56"					
11345			2	"JUL 8,2012@14:56"					
11370			1	"JUN 17,2020@21:10"					
11440			1	"AUG 1,2017@10:15"					
11752			1	"JUL 8,2012@14:57"					
11789			1	"MAY 11,2021@10:40"					
11794	11794		2	"AUG 7,2014@06:40"			2		
11794	11794		3	"AUG 7,2014@06:40"			3		
12000	12000		1	"MAR 29,2012@11:15"					
12002	12002		3	"JUL 2,2012@07:46"					
12003			3	"JUL 8,2012@14:57"					
12011	12011		1	"MAR 29,2012@11:14"					
12015	12015		3	"JUL 2,2012@07:38"					
12021	12021		1	"MAR 29,2012@11:14"					
12022			1	"JUL 8,2012@14:57"					
12023			3	"JUL 8,2012@14:58"					
12041			1	"JUN 25,2012@07:00"					
12047	12047		3	"JUL 2,2012@07:47"					
12049	12049		1	"MAR 29,2012@11:14"					
12090			1	"JUL 28,2021@11:41"					
12268			1	"NOV 13,2017@13:21"					
12399			1	"JUL 8,2012@14:58"					
12956			1	"MAR 4,2019@13:40"					
13054			1	"JAN 15,2019@15:12"					
13162			1	"JUL 16,2012@20:22"					
13174			1	"MAY 23,2012@06:40"					
13185			1	"JUL 16,2012@19:49"					
13189			1	"JUL 8,2012@14:59"					
13193	13193		2	"JUN 25,2015@09:50"			2		
13193	13193		3	"JUN 25,2015@09:50"			3		
13265			1	"JUL 8,2012@15:00"					
13310			1	"JUN 19,2012@07:05"					
13334			1	"JUN 14,2012@09:00"					
13335			1	"JUL 16,2012@19:49"					
13337			1	"JUL 8,2012@15:00"					
13343			1	"JUL 8,2012@15:01"					
13346			1	"JUL 8,2012@15:01"					
13350	13350		1	"MAY 15,2012@11:10"					
13357			1	"JUL 2,2012@09:14"					
13381			1	"MAR 20,2012@10:25"					
13383			1	"MAR 20,2012@10:27"					
13407			1	"JUN 26,2012@06:33"					
13550	13550		1	"MAR 29,2012@11:12"					
13551	13551		3	"JUN 12,2013@11:49"					
13551	13551		2	"JUN 12,2013@11:49"			2		
13853			1	"JUL 8,2012@15:02"					
14140			1	"MAR 15,2012@07:06"					
14142			1	"JUN 26,2012@06:36"					
14165	14165		1	"OCT 10,2013@06:23"					
14190			1	"JUL 2,2012@09:06"					
14232	14232		1	"JUN 27,2012@06:32"					
14315			1	"JUL 8,2012@15:02"					
15688			1	"JUL 8,2012@15:03"					
16109			1	"JUL 8,2012@15:03"					
16111	HDM01		2	"JUN 25,2021@16:57"			2		
16111	HDM01		3	"JUN 25,2021@16:57"			3		
16114			1	"JUN 19,2012@07:06"					
16117	16117		1	"NOV 8,2013@07:26"					
16146			3	"JAN 15,2013@10:30"					
16412			1	"JUN 26,2012@07:14"					
16565			1	"JAN 5,2018@18:50"					
16600			1	"JUL 16,2012@19:51"					
16644			1	"JUL 8,2012@15:03"					
17121			2	"JUL 3,2012@10:24"					
